table,staging,transition,diff
conversaflow.conversation_turns,808,813,-5
conversaflow.conversations,88,93,-5
conversaflow.messages,2136,2146,-10
dashboard_compat.local_user_credentials,missing,1,n/a
dashboard_compat.password_reset_tokens,missing,2,n/a
kds.device_pairing_requests,missing,7,n/a
kds.device_sessions,0,5,-5
legacy.contact_mappings,296,301,-5
observability.data_quality_findings,990,980,10
observability.evaluation_traces,2599,2584,15
observability.pipeline_traces,2631,2646,-15
platform.contact_identities,385,395,-10
platform.contacts,297,302,-5
platform.external_refs,12487,12507,-20
platform.membership_roles,9,17,-8
platform.tenant_memberships,9,15,-6
platform.users,7,8,-1
