schema,table,rows
conversaflow,ai_turn_logs,1259
conversaflow,business_config_changes,20
conversaflow,businesses,1
conversaflow,conversation_outcomes,0
conversaflow,conversation_turns,1610
conversaflow,conversations,535
conversaflow,customer_preferences,9
conversaflow,customers,536
conversaflow,daily_summaries,5
conversaflow,dashboard_users,1
conversaflow,edge_function_logs,3022
conversaflow,eval_traces,17
conversaflow,inbound_events,366
conversaflow,job_attempts,3417
conversaflow,jobs,3412
conversaflow,messages,3980
conversaflow,outbox,412
conversaflow,pipeline_traces,5279
conversaflow,products,136
conversaflow,security_logs,818
conversaflow,transaction_status_events,57
conversaflow,transactions,51
conversaflow,zettle_oauth_tokens,0
kds,device_sessions,0
kds,ticket_events,165
kds,ticket_items,74
kds,tickets,51
public,ai_turn_logs,341
public,business_config_changes,20
public,businesses,1
public,conversation_outcomes,0
public,conversation_turns,50
public,conversations,10
public,customer_preferences,8
public,customers,10
public,daily_summaries,4
public,dashboard_users,1
public,edge_function_logs,1140
public,inbound_events,113
public,job_attempts,382
public,jobs,382
public,messages,859
public,outbox,97
public,pipeline_traces,31
public,products,136
public,security_logs,763
public,transaction_status_events,0
public,transactions,23
public,zettle_oauth_tokens,0
umi_cash,ApplePushToken,49
umi_cash,BirthdayReward,0
umi_cash,GiftCard,1
umi_cash,Location,3
umi_cash,LoyaltyCard,59
umi_cash,OtpVerification,13
umi_cash,RewardConfig,14
umi_cash,RewardRedemption,0
umi_cash,Session,132
umi_cash,Tenant,3
umi_cash,Transaction,3
umi_cash,User,64
umi_cash,Visit,31
