table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
auth,identities,user_id,auth,users,id
auth,mfa_amr_claims,session_id,auth,sessions,id
auth,mfa_challenges,factor_id,auth,mfa_factors,id
auth,mfa_factors,user_id,auth,users,id
auth,oauth_authorizations,client_id,auth,oauth_clients,id
auth,oauth_authorizations,user_id,auth,users,id
auth,oauth_consents,client_id,auth,oauth_clients,id
auth,oauth_consents,user_id,auth,users,id
auth,one_time_tokens,user_id,auth,users,id
auth,refresh_tokens,session_id,auth,sessions,id
auth,saml_providers,sso_provider_id,auth,sso_providers,id
auth,saml_relay_states,flow_state_id,auth,flow_state,id
auth,saml_relay_states,sso_provider_id,auth,sso_providers,id
auth,sessions,oauth_client_id,auth,oauth_clients,id
auth,sessions,user_id,auth,users,id
auth,sso_domains,sso_provider_id,auth,sso_providers,id
auth,webauthn_challenges,user_id,auth,users,id
auth,webauthn_credentials,user_id,auth,users,id
conversaflow,ai_turn_logs,business_id,conversaflow,businesses,id
conversaflow,ai_turn_logs,conversation_id,conversaflow,conversations,id
conversaflow,ai_turn_logs,customer_id,conversaflow,customers,id
conversaflow,conversation_outcomes,business_id,conversaflow,businesses,id
conversaflow,conversation_outcomes,conversation_id,conversaflow,conversations,id
conversaflow,conversation_outcomes,customer_id,conversaflow,customers,id
conversaflow,conversation_turns,assistant_message_id,conversaflow,messages,id
conversaflow,conversation_turns,business_id,conversaflow,businesses,id
conversaflow,conversation_turns,conversation_id,conversaflow,conversations,id
conversaflow,conversation_turns,customer_id,conversaflow,customers,id
conversaflow,conversations,business_id,conversaflow,businesses,id
conversaflow,conversations,customer_id,conversaflow,customers,id
conversaflow,customer_preferences,customer_id,conversaflow,customers,id
conversaflow,customers,business_id,conversaflow,businesses,id
conversaflow,dashboard_users,business_id,conversaflow,businesses,id
conversaflow,inbound_events,business_id,conversaflow,businesses,id
conversaflow,job_attempts,job_id,conversaflow,jobs,id
conversaflow,jobs,business_id,conversaflow,businesses,id
conversaflow,jobs,inbound_event_id,conversaflow,inbound_events,id
conversaflow,messages,conversation_id,conversaflow,conversations,id
conversaflow,outbox,business_id,conversaflow,businesses,id
conversaflow,outbox,job_id,conversaflow,jobs,id
conversaflow,products,business_id,conversaflow,businesses,id
conversaflow,transaction_status_events,transaction_id,conversaflow,transactions,id
conversaflow,transactions,business_id,conversaflow,businesses,id
conversaflow,transactions,customer_id,conversaflow,customers,id
conversaflow,transactions,service_id,conversaflow,products,id
conversaflow,zettle_oauth_tokens,business_id,conversaflow,businesses,id
kds,ticket_events,ticket_id,kds,tickets,ticket_id
kds,ticket_items,ticket_id,kds,tickets,ticket_id
public,ai_turn_logs,business_id,public,businesses,id
public,ai_turn_logs,conversation_id,public,conversations,id
public,ai_turn_logs,customer_id,public,customers,id
public,conversation_outcomes,business_id,public,businesses,id
public,conversation_outcomes,conversation_id,public,conversations,id
public,conversation_outcomes,customer_id,public,customers,id
public,conversation_turns,assistant_message_id,public,messages,id
public,conversation_turns,business_id,public,businesses,id
public,conversation_turns,conversation_id,public,conversations,id
public,conversation_turns,customer_id,public,customers,id
public,conversations,business_id,public,businesses,id
public,conversations,customer_id,public,customers,id
public,customer_preferences,customer_id,public,customers,id
public,customers,business_id,public,businesses,id
public,dashboard_users,business_id,public,businesses,id
public,inbound_events,business_id,public,businesses,id
public,job_attempts,job_id,public,jobs,id
public,jobs,business_id,public,businesses,id
public,jobs,inbound_event_id,public,inbound_events,id
public,messages,conversation_id,public,conversations,id
public,outbox,business_id,public,businesses,id
public,outbox,job_id,public,jobs,id
public,products,business_id,public,businesses,id
public,transaction_status_events,transaction_id,public,transactions,id
public,transactions,business_id,public,businesses,id
public,transactions,customer_id,public,customers,id
public,transactions,service_id,public,products,id
public,zettle_oauth_tokens,business_id,public,businesses,id
storage,objects,bucket_id,storage,buckets,id
storage,s3_multipart_uploads,bucket_id,storage,buckets,id
storage,s3_multipart_uploads_parts,bucket_id,storage,buckets,id
storage,s3_multipart_uploads_parts,upload_id,storage,s3_multipart_uploads,id
storage,vector_indexes,bucket_id,storage,buckets_vectors,id
umi_cash,ApplePushToken,cardId,umi_cash,LoyaltyCard,id
umi_cash,GiftCard,createdByStaffId,umi_cash,User,id
umi_cash,GiftCard,redeemedCardId,umi_cash,LoyaltyCard,id
umi_cash,GiftCard,tenantId,umi_cash,Tenant,id
umi_cash,Location,tenantId,umi_cash,Tenant,id
umi_cash,LoyaltyCard,tenantId,umi_cash,Tenant,id
umi_cash,LoyaltyCard,userId,umi_cash,User,id
umi_cash,RewardConfig,tenantId,umi_cash,Tenant,id
umi_cash,RewardRedemption,cardId,umi_cash,LoyaltyCard,id
umi_cash,RewardRedemption,configId,umi_cash,RewardConfig,id
umi_cash,RewardRedemption,staffId,umi_cash,User,id
umi_cash,Session,userId,umi_cash,User,id
umi_cash,Transaction,cardId,umi_cash,LoyaltyCard,id
umi_cash,Transaction,staffId,umi_cash,User,id
umi_cash,User,tenantId,umi_cash,Tenant,id
umi_cash,Visit,cardId,umi_cash,LoyaltyCard,id
umi_cash,Visit,staffId,umi_cash,User,id
